Game ,Win/Loss,Margin,Shots Taken ,Assists
3/22/06,W,7,20,4
3/24/06,W,5,26,2
3/26/06,W,11,19,2
3/30/06,L,-11,26,2
3/31/06,W,13,38,4
4/2/06,W,16,32,6
4/6/06,L,-2,32,1
4/7/06,L,-11,33,3
4/9/06,W,17,27,5
4/11/06,W,11,22,5
4/14/06,W,11,28,1
4/16/06,W,20,28,5
4/19/06,W,20,26,3
4/23/06,L,-5,21,5
4/26/06,W,6,24,5
4/28/06,W,7,18,7
4/30/06,W,1,14,8
5/2/06,L,-17,17,5
5/4/06,L,-8,35,5
5/6/06,L,-31,16,1
11/3/06,W,6,15,6
11/5/06,L,-16,10,9
11/7/06,W,7,7,6
11/8/06,L,-11,19,1
11/10/06,L,-14,11,2
11/12/06,W,10,17,6
11/17/06,W,7,19,7
11/19/06,W,10,14,4
11/21/06,W,4,23,5
11/24/06,L,-6,18,2
11/26/06,W,6,24,10
11/28/06,L,-4,23,4
11/30/06,W,30,26,3
12/2/06,W,9,23,3
12/4/06,W,14,16,2
12/6/06,L,-16,17,4
12/10/06,W,7,25,1
12/12/06,W,8,26,7
12/13/06,L,-9,18,4
12/15/06,W,11,38,8
12/17/06,L,-6,24,10
12/19/06,L,-5,19,4
12/20/06,W,17,17,6
12/22/06,W,4,13,11
12/25/06,L,-16,17,4
12/27/06,W,13,22,7
12/29/06,L,-9,45,4
12/31/06,W,10,22,6
1/4/07,W,4,21,9
1/5/07,W,19,9,10
1/7/07,W,3,20,6
1/9/07,L,-10,15,6
1/10/07,L,-25,18,1
1/12/07,W,3,15,7
1/15/07,W,6,24,8
1/17/07,W,4,19,8
1/18/07,L,-19,18,5
1/20/07,L,-10,22,7
1/22/07,W,5,22,1
1/26/07,L,-9,24,5
1/28/07,L,-2,25,7
1/31/07,W,13,25,8
2/2/07,L,-11,25,4
2/3/07,W,16,26,6
2/5/07,W,7,18,4
2/8/07,L,-15,13,5
2/9/07,L,-4,23,5
2/11/07,L,-9,24,6
2/13/07,L,-1,20,4
2/15/07,L,-6,22,5
2/21/07,L,-4,22,6
2/23/07,W,26,23,9
2/25/07,W,17,23,6
2/26/07,W,8,21,4
3/4/07,L,-5,28,6
3/6/07,L,-10,30,8
3/9/07,L,-16,27,4
3/11/07,L,-36,19,3
3/15/07,L,-27,19,9
3/16/07,W,5,39,3
3/18/07,W,7,35,3
3/22/07,W,2,37,4
3/23/07,W,6,29,1
3/25/07,W,2,33,0
3/27/07,L,-2,26,5
3/30/07,L,-3,44,2
4/1/07,W,23,14,13
4/3/07,L,-6,31,4
4/4/07,L,-8,34,3
4/6/07,W,3,27,6
4/8/07,L,-8,25,7
4/9/07,L,-4,30,10
4/12/07,L,-8,33,1
4/13/07,L,-8,26,4
4/15/07,W,11,25,3
4/18/07,W,11,19,6
4/22/07,L,-8,33,1
4/24/07,L,-28,13,5
4/26/07,W,6,26,6
4/29/07,L,-13,25,9
5/2/07,L,-9,33,1
10/30/07,L,-2,32,4
11/2/07,W,21,15,4
11/4/07,W,10,19,3
11/6/07,L,-14,20,7
11/9/07,W,14,19,7
11/13/07,L,-15,19,5
11/14/07,W,3,23,5
11/16/07,W,12,18,7
11/18/07,W,28,16,3
11/20/07,W,20,16,4
11/21/07,L,-7,18,4
11/23/07,L,-13,21,3
11/25/07,L,-2,21,7
11/27/07,W,7,22,6
11/29/07,W,28,18,7
11/30/07,L,-24,19,3
12/2/07,L,-7,26,5
12/4/07,W,21,12,5
12/5/07,W,4,19,5
12/9/07,W,10,23,8
12/13/07,W,5,24,3
12/14/07,L,-2,23,5
12/16/07,W,21,22,3
12/18/07,W,12,19,2
12/20/07,L,-4,22,5
12/21/07,W,5,20,3
12/23/07,W,5,28,8
12/25/07,W,7,20,7
12/28/07,W,14,18,7
12/30/07,L,-19,25,3
1/4/08,W,31,9,4
1/6/08,W,16,21,6
1/8/08,W,16,22,6
1/9/08,W,29,16,7
1/11/08,W,5,25,7
1/13/08,W,1,25,4
1/14/08,W,2,44,2
1/17/08,L,-8,22,4
1/21/08,W,17,7,11
1/23/08,L,-12,27,5
1/25/08,L,-7,19,5
1/27/08,L,-3,21,6
1/29/08,W,11,21,11
1/31/08,L,-1,25,5
2/1/08,W,20,28,5
2/3/08,W,12,15,2
2/5/08,W,15,13,8
2/6/08,L,-3,16,10
2/8/08,W,4,26,6
2/10/08,W,10,15,5
2/11/08,W,9,17,4
2/13/08,W,25,18,5
2/19/08,W,29,16,3
2/20/08,W,6,25,3
2/23/08,W,18,11,7
2/24/08,W,20,13,10
2/26/08,W,13,25,7
2/28/08,W,18,14,8
2/29/08,L,-8,24,5
3/2/08,W,4,27,4
3/4/08,W,12,26,3
3/7/08,W,37,9,3
3/9/08,L,-1,18,5
3/11/08,W,9,20,7
3/14/08,L,-10,23,3
3/16/08,L,-12,33,2
3/18/08,W,2,23,7
3/20/08,W,11,24,7
3/21/08,W,25,15,5
3/23/08,L,-4,30,8
3/24/08,W,4,30,7
3/26/08,L,-13,22,3
3/28/08,L,-3,37,1
3/30/08,W,6,24,13
4/2/08,W,13,16,7
4/4/08,W,4,14,6
4/6/08,W,22,15,5
4/8/08,L,-9,26,5
4/10/08,W,28,17,3
4/11/08,W,3,17,8
4/13/08,W,21,14,5
4/15/08,W,23,13,5
4/20/08,W,14,26,1
4/23/08,W,15,27,10
4/26/08,W,18,19,8
4/28/08,W,6,24,6
5/4/08,W,11,16,7
5/7/08,W,10,18,6
5/9/08,L,-5,20,7
5/11/08,L,-8,33,10
5/14/08,W,7,10,7
5/16/08,W,3,19,6
5/21/08,W,4,21,9
5/23/08,W,30,17,5
5/25/08,L,-19,23,1
5/27/08,W,2,29,1
5/29/08,W,8,30,3
6/5/08,L,-10,26,6
6/8/08,L,-6,23,8
6/10/08,W,6,20,1
6/12/08,L,-6,19,10
6/15/08,W,5,21,4
6/17/08,L,-39,22,1
10/28/08,W,20,17,5
10/29/08,W,38,12,3
11/1/08,W,7,24,3
11/5/08,W,18,21,3
11/9/08,W,29,17,3
11/11/08,W,7,20,1
11/12/08,W,7,15,6
11/14/08,L,-11,30,6
11/18/08,W,7,18,6
11/20/08,W,13,23,3
